Date         Time       Amount   Transaction                  
2023-05-31   14:44:45   5000000  deposits            
2023-05-31   14:44:51   800      withdrawl           
2023-05-31   14:45:05   100000   withdrawl           
2023-05-31   14:50:44   4000000  withdrawl           
2023-06-02   08:22:37   50000    withdrawl           
2023-06-02   08:24:46   1000     withdrawl           
2023-06-02   08:25:42   20000    withdrawl           
2023-06-02   08:27:19   50000    deposits            
2023-06-02   08:28:45   200      withdrawl           
2023-06-02   08:29:43   2000     withdrawl           
2023-06-02   08:29:55   6000     withdrawl           
2023-06-02   08:39:15   500      deposits            
